PassengerId,Survived_preds,Survived_probs
1239,1,0.6355
1240,0,0.2206
1241,1,0.757
1242,1,0.9477
1243,0,0.2436
1244,0,0.2481
1245,0,0.2983
1246,0,0.4685
1247,0,0.2911
1248,1,0.7794
1249,0,0.1333
1250,0,0.1477
1251,1,0.5462
1252,0,0.26
1253,1,0.9286
1254,1,0.757
1255,0,0.1432
1256,1,0.9344
1257,0,0.3164
1258,0,0.1998
1259,0,0.4927
1260,1,0.9477
1261,0,0.2207
1262,0,0.2206
1263,1,0.9612
1264,0,0.2225
1265,0,0.2206
1266,1,0.9228
1267,1,0.9612
1268,0,0.3983
1269,0,0.2206
1270,0,0.304
1271,0,0.2491
1272,0,0.1477
1273,0,0.1477
1274,1,0.5462
1275,1,0.5462
1276,0,0.2206
1277,1,0.8058
1278,0,0.1333
1279,0,0.2206
1280,0,0.1477
1281,0,0.2274
1282,0,0.4679
1283,1,0.8219
1284,0,0.2274
1285,0,0.2436
1286,0,0.2274
1287,1,0.7974
1288,0,0.1477
1289,1,0.9459
1290,0,0.1333
1291,0,0.1477
1292,1,0.9421
1293,0,0.2206
1294,1,0.9477
1295,0,0.304
1296,0,0.3435
1297,0,0.2207
1298,0,0.2436
1299,0,0.4315
1300,1,0.6164
1301,1,0.5312
1302,1,0.6164
1303,1,0.9256
1304,0,0.4951
1305,0,0.1432
1306,1,0.9612
1307,0,0.1333
1308,0,0.1432
1309,0,0.3758
